DEFA,D.R.Germany,Berlin,D.R.Germany,1946,1994,split from UFA,,,
Eagle Lion,Eagle Lion,,,1947,1951,from PRC1,MergedU.A.,,
New World,,Rome,Italy,1947,1994,,,,
Transatlantic,Transatlantic,London,England,1948,1949,Bernstein,Hitchcock,,,
ARC,American Releasing Corporation,Palo Alto,USA,1954,1956,Samuel Z. Arkoff. James Nicholson,AIP,Z-movies,
AIP,American International Pictures,,USA,1956,1980,from ARC, Filmways,Z-movies,
Filmgroup,American International Pictures,,USA,1956,1980,sub AIP,,sex-drugs-movies,
Trans-American,American International Pictures,,USA,1956,1980,sub AIP,,Z-movies,
Hallmark,American International Pictures,,USA,1956,1980,sub AIP,,Europoean,Horr,
UFA 2,UFA, F.R.Germany,Babelsberg,F.R.Germany,1956,1962,1971,,,,
Revue,MCA,Universal City,USA,1959,,,bought by Seagram 1995,was Universal lot, TV
Malpaso,Malpaso Productions,Hollywood,USA,1968,,Clint Eastwood,,,
NFDC,National Film Development Corp.,New Delhi,India,1970,,,,,
Zoetrope,Warners,San Francisco,USA,1970,,Francis Ford Coppola, George Lucas,,,
UFA,Bertelsmann,Babelsberg,F.R.Germany,1971,1994,,,,
Box Office,Box Office International,,France,1972,,,,,
Paramount,GulfWestern Corp,Los Angeles,USA,,1994,,,,
Golden Harvest,Golden Harvest Studio,HongKong,China,1972,1994,,,KungFu,
Cathay,Cathay Film Company,HongKong,China,1972,1994,,,KungFu,
Producers Distr.Corp,,,USA,,1940,,became PRC,,
PRC,Pathe,,USA,1940,1949,,absorbed by Rank to become Eagle Lion,
London Films,,London,England,1945,1994,AlexKorda,,,
Pathe 2,Pathe Communications,,Italy,1946,1994,Pathe,,Owns 1200 titles,
Eagle Lion,Rank,,,1949,1950,,merged with U.A.,,
Cines3,,,Italy,1949,,,,,
Biograph,,The Bronx,USA,,,,,,
FilmMakers,Film Makers,,USA,1950,1956,Ida Lupino, Collier Young,,,
Woodfall,Woodfall Productions,,G.B.,1956,1960,Saltzman, Tony Richardson, John Osborne,,,
MGM British,Metro-Goldwyn-Mayer,Elstree,England,1949,,,,,
Astor,indep,,USA,,,,,Z-films,
Howco,indep,,USA,,,,,Z-films,
Lippert,indep,,USA,,,,,Z-films,
RealArt,indep,,USA,,, James Nicholson,,Z-films,
UGC,Union Generale Cinamatographique,,France,1950,,,,,
Condor,Deutsche Condor Film GmbH,Munchen,F.R.Germany,1956,1994,,,,
laPleiade,Films de la Pleiade,,France,1960,,,,,
MCA,,,USA,before 1960,1990,Universal,Matsushita,Sid Sheinberg, pres.and CEO; Lew Wasserman, chairman,
Filmservice,,Los Angeles,USA,1960,,,,,
Shamley,Paramount,Los Angeles,USA,1960,,, *,,
Film House,The Film House,Melbourne,Australia,1965,1994,Schepisi,,,
Carosse,Films du Carosse,Paris,France,1961,1984,Truffaut,,,
Essexe,Essex Productions,,USA,1965,,Frank Sinatra,,,
Bavaria,Bavaria Atelier,Munchen,F.R.Germany,1968,1972,, split from UFA,,
NWP,New World Pictures,Hollywood,U.S.A.,1970,1994,Corman,,,
Fantasy,,Berkely CA,U.S.A.,1970,1994,Saul Saentz,,,
Todrest,,,France,1981,,,,,
Xian Film Studios,P.R.China,Xian Shaanxi,P.R.China,1983,,,,,
MGM-U.A,MGM-U.A. Communications Co.,Hollywood,USA,1983,1990,Kirk Kerkorian Bought Pathe,,,
Paulist,Paulist Pictures,Malibu CA,USA,1988,,Ellwood Bud Kieser,,Uplifting,
Granada,,,England,,1994,SidBernstein,,,
Carolco,,North-carolina,USA,,1994, PGolden Harvest,,,
Thames,,,England,,1994,,,,
Double,Double Head,,Australia,1975,1994,,,,
Orion,Orion,,USA,before 1979,1997,from Filmways,MGM,,
Filmways,Filmways,,USA,1980,1981,from AIP,Orion,Z-movies,
Miramax,,,USA,1980,,Weinstein, Weinstein,,,
Cobra,Cobra Filmproduktion,,Germany,198,,,,,
Lorimar,,,USA,1980,1994,Lee Rich, ,,,
Buena Vista,Disney,,USA,1980,1994,,,,
Galaxie,Les Films Galaxie,,France,1981,,,,,
Lee Rich,Lee Rich Productions, Warners,,USA,1983,1994,Lee Rich,,,
TriStar,Tri-Star Pictures Inc.,,USA,1985,1990,Columbia,TriStar-Sony,,
NewLine,New Line Cinema,,USA,1989,1994,,bought by Turner, 1993,,
Gracie,,Hollywood,USA,1989,1994,J.L.Brooks,,,
CastleRock,,,USA,1989,1994,Rob Reiner,bought by Turner, 1993,,
Caravan,,,USA,,1990,1994,Roth,,,
MCA,Matsushita,,USA,1990,1994,,,Sid Sheinberg, pres.and CEO; Lew Wasserman, chairman,
Warners,Time-Warner,Burbank,USA,1990,1994,Warner Bros,,,
Universal,MCA, Matsushita,Osaka,Japan,1992,1994,From MCA,,,
Taksen,,Joinville,France,,1994,,,,
Columbia,Sony Software Corp,Burbank,USA,1990,1994,Columbia,,,
TriStar,Sony Software Corp,,USA,1990,1994,TriStar-Columbia,,,
Vivid,Vivid Video,Los Angeles,USA,1990,1998,Steven Hirsch,,, Porn,
Wicked,,Los Angeles,USA,1990,1998,,,, Porn,
VCA,,Los Angeles,USA,1990,1998,,,, Porn,
Metro,,Los Angeles,USA,1990,1998,,,, Porn,
Regency,Regency Enterprises,,Holland,1991,1998,Arnon Milchan,,contract with Warners 1991,
Paramount,Viacom Corp.,Los Angeles,USA,1993,1994,Viacom,,,
Turner,Turner Broadcasting,Hollywood,USA,1993,1994,Ted Turner,,,
Graniet,Graniet Film,,The Netherlands,1993,1998,van Warmerdam,,,
Pixar,Pixar Animation Studios,Hollywood,USA,1995,,Steve Jobs,,Cart,
Miramax,Miramx,Hollywood,USA,1996,,Disney,,Romt,
Dimension,Dimension,Hollywood,USA,1996,,Disney,,Horr,
Gregory,Gregory Productions,,USA,1996,,Ian Courts Catholic Church,,
Jagged,Jagged Films,,USA,1998,,Mick Jagger,,
LionsGate,Lions Gate Releasiung,,USA,1998,,Mark Urman,,
