Phenakistiscope,,Paris,France,1832,,Plateau,,,UF,
Zootrope,,,UK,1834,,W.G.Horne,,Drum with slits.    ,
Phenakistiscope,,Paris,France,1835,,Charles Chevalier,S:L'anorthoscope,,
L'anorthoscope,,Paris,France,1836,,Plateau,,boxed Phenakistiscope. ,
Photobioscope,,,,1867,,Bonnelliot, Henry Cook,, ,
Pocket Kinematograph,,,,1868,,J.B.Linnett,,flip book ,
Zootrope,,Paris,France,1876,,Emile Reynaud,,Drum with slits ,
Thaumatrope,,Paris,France,1877,,Docteur Pan,,,
Life Projection Wheel,,Stanford CA,USA,1880,,E.Muybridge,,Multiple cameras,
Schnellseher,,,Germany,1887,,O.Anschutz,,Interrupted illumination,
Praxinoscope,,,France,1876,,Emile Reynaud,,Used images drawn by himself. ,
Projection-Praxinoscope,,,France,1881,1882,Ch-E.Reynaud,,used film, drawn images,
Film Camera,,,Germany,1889,,W.Friese-Greene,,,
35mm Film Camera,Edison,New Jersey,USA,1893,,T.A.Edison,,,
Kinetoscope,Edison,,NJ,1894,,T.A.Edison,,Penny Arcades, single person viewer. ,
Practical Projectors,Lumiere Fr.,Lyon,France,1895,,Louis Lumiere, August Lumiere,,,
Vitascope Projectors,Vitascope,New York,USA,1895,,W.Latham,,,
Practical Projectors,M.Skladanowsky,Berlin,Germany,1895,,O.Meester,,,
Phakinescope,,,,1896,,Abadie Dutemps,,Used prism.,
Selig Polyscope,Selig,Chicago,USA,1896,,William N.Selig,,a.o Tom Mix films,
Stereo-Praxinoscope,,,France,1902,,Emile Reynaud,,Two drums. ,
